Day,N(g/L),P(g/L),K(g/L)
139,3.462371705,1.27858397,6.880737005
140,3.454655982,1.290975595,6.88700183
141,3.446382447,1.303276645,6.891510533
142,3.437615411,1.315484165,6.894316896
143,3.428422619,1.327595199,6.895479243
144,3.418875307,1.339606791,6.895060531
145,3.409048254,1.351515985,6.893128427
146,3.399019842,1.363319827,6.889755392
147,3.388872106,1.37501536,6.885018762
148,3.378690791,1.386599629,6.879000831
149,3.368565405,1.398069677,6.871788934
150,3.358589278,1.40942255,6.863475526
151,3.348859613,1.420655292,6.854158267
152,3.33947754,1.431764947,6.843940106
153,3.330548176,1.442748559,6.832929356
154,3.322180676,1.453603172,6.821239784
155,3.314488286,1.464325832,6.80899069
156,3.307588405,1.474913583,6.796306986
157,3.301602631,1.485363468,6.783319285
158,3.296656822,1.495672532,6.770163975
159,3.29288115,1.50583782,6.756983311
160,3.290410153,1.515856375,6.743925486
161,3.289382793,1.525725243,6.731144723
162,3.28994251,1.535441467,6.718801349
163,3.292237273,1.545002091,6.707061886
164,3.296419644,1.554404161,6.696099124
165,3.302646822,1.563644721,6.686092209
166,3.311080705,1.572720814,6.677226724
167,3.321887945,1.581629486,6.66969477
168,3.335239996,1.59036778,6.663695048
169,3.351313178,1.598932741,6.659432945
170,3.370288725,1.607321413,6.657120609
171,3.392352843,1.615530841,6.656977038
172,3.417696764,1.623558069,6.65922816
173,3.446516801,1.631400141,6.664106912
174,3.479014403,1.639054101,6.671853327
175,3.51539621,1.646516995,6.682714613
